Customer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
UNILEVER - BRAZIL - 2013,"214,959.10","263,938.90","205,737.20","269,008.30","213,028.50","271,095.10","290,977.20","213,904.00","277,048.70","394,197.10","406,843.30","502,017.60"
UNILEVER - BRAZIL - 2014,"354,515.50","262,441.10","244,006.40","107,435.40","310,982.20","202,707.00","213,775.00","319,135.00","259,225.70","203,550.00","211,169.50","131,718.60"
UNILEVER - BRAZIL - 2015,"228,268.90","263,322.70","68,661.90","328,118.50","319,387.60","159,444.90","271,103.30","267,622.60","295,142.00","313,067.70",0,0
UNILEVER - CHINA - 2013,"95,857.00","17,529.50","118,268.50","104,467.30","96,362.80","146,340.90","125,991.10","189,820.90","114,557.00","183,225.60","170,727.50","247,808.70"
UNILEVER - CHINA - 2014,"155,109.20","97,911.40","204,991.50","219,765.20","195,090.50","231,792.90","167,294.40","164,414.80","136,715.30","150,055.60","84,165.10","65,938.30"
UNILEVER - CHINA - 2015,"138,445.80","161,612.80","48,972.80","101,087.30","128,479.30","153,771.10","184,225.60","179,621.30","163,194.50","129,161.00",0,0
UNILEVER - SPAIN - 2013,"81,395.50","3,822.50","98,182.60","110,442.10","174,782.40","213,272.80","117,544.00","105,678.90","65,789.70","162,724.30","116,523.60","62,847.70"
UNILEVER - SPAIN - 2014,"90,310.20","80,109.50","106,633.40","107,448.80","75,900.40","77,700.40","98,910.60","57,539.40","83,126.90","87,335.90","147,868.90","95,274.60"
UNILEVER - SPAIN - 2015,"46,541.90","140,341.20","129,740.40","19,477.10","98,721.90","201,387.90","161,045.90","111,073.10","189,991.00","128,233.10",0,0
UNILEVER - UK - 2013,"294,216.30","183,473.50","560,865.80","417,074.70","381,647.00","367,817.30","397,107.40","436,173.70","363,727.10","408,558.60","383,597.40","356,117.70"
UNILEVER - UK - 2014,"184,704.80","274,801.60","500,023.00","259,158.50","274,178.40","286,857.20","320,586.20","325,695.30","317,103.70","353,385.20","274,390.50","268,442.80"
UNILEVER - UK - 2015,"146,475.90","167,585.20","167,431.50","273,456.50","96,809.90","307,074.60","10,525.20","275,285.90","447,576.10","416,346.80",0,0
