Customer,Country,KPI,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FORD MOTOR,China,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
HEWLETT PACKARD,China,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
UNILEVER,China,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,14.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PEPSICO,China,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PROCTER & GAMBLE,China,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,14.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PROCTER & GAMBLE,Spain,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,14.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
UNILEVER,Spain,Lost Time Injury Frequency Rate,2014,0.00%,0.78%,1.70%,0.00%,0.00%,0.00%,0.82%,0.77%,0.72%,0.76%,0.00%,0.00%
FORD MOTOR,Spain,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
HEWLETT PACKARD,Spain,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PEPSICO,Spain,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
FORD MOTOR,UK,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
HEWLETT PACKARD,UK,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,14.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PEPSICO,UK,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,14.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PROCTER & GAMBLE,UK,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,14.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
UNILEVER,UK,Lost Time Injury Frequency Rate,2014,0.00%,0.78%,1.70%,0.00%,0.00%,0.00%,0.82%,0.77%,0.72%,0.76%,0.00%,0.00%
FORD MOTOR,USA,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,0.00%,0.00%,0.00%,24.83%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
HEWLETT PACKARD,USA,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PEPSICO,USA,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PROCTER & GAMBLE,USA,Lost Time Injury Frequency Rate,2014,0.00%,0.71%,1.36%,0.00%,0.77%,0.00%,0.00%,1.53%,0.00%,0.84%,0.00%,0.49%
