Customer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
PROCTER & GAMBLE,6136511.7,5619222.6,5612049,5296891.9,5288445.6,5417780.3,5338729.3,5302343.6,5209608.4,5339449.8,5512603.2,5654267
PROCTER & GAMBLE,5806180.9,5919906.7,7051638.7,7017484.8,7130980.9,7433699,7306746,7265333.4,7969345,8423467.2,0,0
PROCTER & GAMBLE,850648.1,894150,919730.1,965578.8,984181.7,1064821.1,829901.9,810702.4,879571.7,884199.8,768192.6,909802.5
PROCTER & GAMBLE,773049.6,774986.6,994837.8,1027431.1,978803.1,965390.3,1291484.4,1084582.9,1049717.3,1018306.6,1051594.4,1083528
PROCTER & GAMBLE,1093839.8,1047975.7,1068630.3,1049977.4,1160319.6,1114617.1,1049015.7,1060886,1065885.8,1027836.5,0,0
PROCTER & GAMBLE,0,0,0,0,0,2848,2849.5,2849,2853.3,2851.9,0,0
PROCTER & GAMBLE,1276137.6,1254816.8,1252849.6,1340221.9,1398967.1,1328018.3,1215037.7,1180836,1222373.2,1270253.5,1275831.2,1203364.7
PROCTER & GAMBLE,1269350.2,1239699.7,1245401.3,1255876.4,1304056.4,1124303.2,1199036.4,1140449.1,1169078,1210002.3,1161523.3,1185730.8
PROCTER & GAMBLE,1144053.9,1105370.7,1076771.8,1098461.8,1046585.3,1129031.8,1072203.6,972576.1,1023733.5,958124.7,0,0
PROCTER & GAMBLE,382346.1,352919.6,336004.2,332990.2,342083.9,321619.2,318682.3,329684.9,397168.1,337478.4,318730.5,333924.5
PROCTER & GAMBLE,300194.9,343578.5,338882.5,350103.1,339453.9,311278.7,429892.4,386574.9,468929.5,487012.3,422815.6,534748.4
PROCTER & GAMBLE,436040.7,384328.6,429912.5,489601.1,426086.7,697650.9,292935,295102.1,303267.8,301360.3,0,0
UNILEVER,7223281.8,6676759.6,7380897.4,6698171.5,6723614.1,6008947.9,5928648.2,6934656.9,6278904.5,6843298.1,6209640.9,5961486.9
UNILEVER,6736569.6,5571278.4,5066799.7,6336901.6,5704620.8,5460196.6,4069387,4700331.9,5899101.3,7122114,6055163.6,5895904.2
UNILEVER,6482594.5,6090246.2,6405612.5,5712212.2,7259098.3,6326615.4,6018664,6373588.4,6110575.4,6974832.7,0,0
UNILEVER,1633570,1745453.1,1849364.5,1914370.8,1895128.5,2047407.1,2003563.4,1798646.3,2201851.2,2737841.3,2852338.3,2916488.5
UNILEVER,2637674.6,2672539,2670976.8,2687723.5,2810402.5,2700007.2,2819387.6,2749959.8,2762207.1,2689327.3,2621519.4,2593018.5
UNILEVER,2409569.1,2606627.4,2450921.4,2844406,2752492.5,2666727.6,2551947.1,2594550.1,2577604.5,2528593.7,0,0
UNILEVER,1096515.1,695109.4,1187319.1,1081900.7,1070565.2,1278372.3,1101662.6,1348889.7,970427.4,1375277.4,1347601.9,1706029.7
UNILEVER,1184136.3,993201.1,1413858,1390294.8,1321893.2,1658878.2,1197504.8,1265531.6,1148468.7,1287202.7,1137959.1,1123808.9
UNILEVER,941478.7,1409734.9,1090275.3,1127753.6,1276654.4,1420286.3,1601273.8,1586148,1512433.1,1309316.5,0,0
UNILEVER,1382198.2,1400774.3,1383049.6,1426528.7,1483552.4,1412678.2,1601048.8,1471855.6,1568957.4,1626053.2,1544020,1355288.1
UNILEVER,1318945.9,1421849.1,1394395.6,1324735.1,1467697.1,1419763.4,1507390.4,1299193.8,1487361.1,1560882.3,1362900.7,1348082.4
UNILEVER,1193840.2,1268017.1,1431428.3,1304042.1,1346145.8,1574472.2,1545851.8,1420341.6,1497847.8,1488797.1,0,0
UNILEVER,2857627.9,2879902.4,3777523.5,3968683.6,4185116.1,3940279.8,4672661.4,4441507.1,4189428.7,4387708.4,4094554.9,4253356.2
UNILEVER,3508045.8,3494169.7,4489318.5,3930804,4215888,4253835.4,4317534.9,4385705.2,4798483.9,5031939.9,4281332,3938047.3
UNILEVER,3939332.8,3722991.3,4235877.2,3981243.6,4187759.4,3961277.1,4582856.4,4522594.2,4273888.5,3519102.7,0,0
