id	text
"62"	"RT @FedEx: Here it is! @DennyHamlin’s special #FedEx11 #FedExCares ride for Sunday’s #Brickyard400 at @IMS. https://t.co/8A7coSKPkE"
"63"	"Gotta love “guaranteed delivery July 23” when usps says it won’t get here until tomorrow. 🖕🏻 @amazon @AmazonHelp https://t.co/S6yYANExel"
"64"	"Ready to kiss those bricks!!! 💕 https://t.co/AtQpsojfNI"
"65"	"RT @FedEx: The #FedEx11 car’s design was the inspiration of 22-year #FedEx team member Rachee, an active #FedExCares supporter… "
"66"	"dhl are taking the piss"
"67"	"RT @DFSWest: We officially launched #TheCareerHub tonight at #DFSwest! This online library of resources made possible by @FedEx… "
"68"	"USPS Financially Imploding As New Political Scandal Emerges https://t.co/3NMDg6BXVT These people have Las Vegas Shindigs! #DrainTheSwamp"
"69"	"RT @CBCAlerts: BREAKING: FedEx closing all its retail office stores in Canada; 214 employees have been given notice for Aug. 18: https://t.…"
"70"	"@McDonalds @USPS @USPISRunning @NAACP @ACLU @NationalSCLC @WhiteHouse @POTUS @VP @FBI @CIA @DHSgov Ur ""Islam/Muslim… https://t.co/KH70WEpRap"
"71"	"Uh-Oh: @USPS Broke The Law When They Allowed Employees ToWork For Hillary's Campaign https://t.co/uEIYoNrmSX PROSECUTE THEM, @USAGSessions!"
"72"	"RT @swrobb: My wife had a horrible experience with UPS Today they just blamed the UPS Store ( A franchise ). Future FedEx Customer @violett…"
"74"	"Even the FedEx store can't keep copy machines working"
"75"	"WCstamps: $490.00 Face Value - 1,000 USPS Flag Forever Stamps Lot#073 https://t.co/c5pUhzkZcr #stamps #deals"
"77"	"@Google launches appliance to upload #data by  @FedEx https://t.co/fEQSrBTK0F"
"79"	"RT @FedEx: Here it is! @DennyHamlin’s special #FedEx11 #FedExCares ride for Sunday’s #Brickyard400 at @IMS. https://t.co/8A7coSKPkE"
"80"	"Stamp Collection- Majestic Stamp Album + USPS 1980 Commemorative Set + Loose  https://t.co/Fl5dGYvJgm"
"82"	"@USPS for all the marketing you do, you your service is awful, i have AMAZON PRIME,  MAY DROP IT IF YOUR THE SHIPPING COMPANY, UNRELIABILITY"
"83"	"Meanwhile, just saw USPS delivering mail. On Sunday. This is not your father's America. https://t.co/pOlNtw0lm5"
"84"	"RT @FedEx: ICYMI: We had 75 team members help us unveil @DennyHamlin’s special #FedEx Cares paint scheme on Friday. https://t.co/syFff2jUJu"
"85"	"RT @FedEx: The #FedEx11 car’s design was the inspiration of 22-year #FedEx team member Rachee, an active #FedExCares supporter… "
"88"	"The Post Office Delivered for Hillary  . https://t.co/ymCCPYAHS7 OSC Says The USPS “Engaged In Systemic Violations” of the Hatch Act"
"89"	"@FedEx That's beautiful.  Do you think you cold talk Lionel into making a diecast like that?"
"92"	"@AmazonHelp It's not Amazon's fault, but yes, way past the delivery date. USPS can't seem to figure out why the pac… https://t.co/Xxuoj2vGrH"
"94"	"Best Vines for #FEDEX (/FedEx) Compilation ↺RT❤: https://t.co/Dpy5RSFqA5 #NOTABADTHING #FEDEXCUP #CROSSOVER #FEDEX #FEDEX"
"95"	"#FEDEX (/FedEx) Best Vines Compilation and Favorite Revines ↺RT❤: https://t.co/IbMugGXBFH #NASCAR #FEDEX #THANKSGIVING"
"96"	"duration..its about a FedEx executive who become the only survivor during the plane crash at the pacific ocean and being swept away to"
"98"	"FedEx Leverages #Customer #Retention Into Customer #Aquisition Through New Offerings https://t.co/P1hFOARHCl https://t.co/3zZqao1okC"
"100"	"Dear @USPS I ordered a special gift for today and paid for shipping to arrive today &amp; tracking says it's in my town but won't be out til Mon"
"101"	"DHL couldn't or was AFRAID to find corrupt ex-prime minister Gruevski of Macedonia to deliver suit? Comment&gt; @DeutschePostDHL ? Horrible PR."
"102"	"RT @sjh2222: USPS Financially Imploding As New Political Scandal Emerges https://t.co/3NMDg6BXVT These people have Las Vegas Meetings! #Dra…"
